transaction_id,transaction_date,customer_id,product_id,quantity,unit_price,total_amount,payment_method,status,is_anomaly,hour,day_of_week,month,month_name,quarter
TRX100000,2023-04-12,CUST10193,PROD1024,3,1082.72,3359.16,Наличные,Отменен,False,0,Ср,4,Апрель,2
TRX100001,2023-10-18,CUST10116,PROD1002,1,2331.16,2477.02,Наличные,Завершен,False,0,Ср,10,Октябрь,4
TRX100002,2023-12-17,CUST10036,PROD1022,3,4668.45,26553.27,Онлайн,Отменен,False,0,Вс,12,Декабрь,4
TRX100003,2023-05-13,CUST10083,PROD1012,2,1050.68,2952.42,Наличные,Завершен,False,0,Сб,5,Май,2
TRX100004,2023-09-07,CUST10043,PROD1002,1,2331.16,2319.66,Наличные,Завершен,False,0,Чт,9,Сентябрь,3
TRX100005,2023-06-28,CUST10027,PROD1018,3,2672.99,7421.39,Наличные,Завершен,False,0,Ср,6,Июнь,2
TRX100006,2023-10-12,CUST10105,PROD1002,3,2331.16,7402.5,Карта,Завершен,False,0,Чт,10,Октябрь,4
TRX100007,2023-11-14,CUST10053,PROD1017,1,254.98,427.66,Онлайн,Завершен,False,0,Вт,11,Ноябрь,4
TRX100008,2023-10-30,CUST10177,PROD1025,2,871.73,1910.9,Карта,Завершен,False,0,Пн,10,Октябрь,4
TRX100009,2023-03-30,CUST10124,PROD1021,3,1105.42,3036.3,Карта,Завершен,False,0,Чт,3,Март,1
TRX100010,2023-10-31,CUST10078,PROD1014,3,1566.78,4536.18,Наличные,Завершен,False,0,Вт,10,Октябрь,4
TRX100011,2023-02-05,CUST10083,PROD1003,3,1956.8,6088.2,Наличные,Завершен,False,0,Вс,2,Февраль,1
TRX100012,2023-11-27,CUST10193,PROD1001,3,4609.89,22854.8,Онлайн,Завершен,False,0,Пн,11,Ноябрь,4
TRX100013,2023-01-01,CUST10147,PROD1021,1,1105.42,1027.87,Наличные,Завершен,False,0,Вс,1,Январь,1
TRX100014,2023-04-11,CUST10173,PROD1021,1,1105.42,1188.86,Наличные,Завершен,False,0,Вт,4,Апрель,2
TRX100015,2023-08-11,CUST10130,PROD1029,3,4197.25,18299.33,Наличные,Завершен,False,0,Пт,8,Август,3
TRX100016,2023-03-07,CUST10180,PROD1001,2,4609.89,8978.63,Онлайн,Завершен,False,0,Вт,3,Март,1
TRX100017,2023-07-03,CUST10160,PROD1027,1,1625.75,9363.861909141318,Наличные,Завершен,True,0,Пн,7,Июль,3
